course_credits,course_department,course_exam_from,course_lamguage,course_outcome,course_prerequest_for,course_prof,course_remark,course_score,course_semester,course_skills,course_summary,course_teaching_method,course_title,course_uni_url,course_url,course_weeks
4,Bioengineering,During the semester,English,,None,"Courtine Grégoire, Micera Silvestro",MA3 only,Peojects assessemnt during the semester,Fall,,"Teaching objectives: history, neural control of movement, computational motor control, neurorehabilitation after CNS disorders, upper limb and hand neuroprostheses, lower limp neuroprostheses, student project.","The students will get scientific background by the two teachers, they will be involved in hands-on activities and will also have to work on scientific projects to conceive their own neuroprosthetic system",Sensorimotor neuroprosthetics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1680039586&ww_x_anneeacad=1866895046&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en,14
2,Electrical and Electronics Engineering,Written,English,Classify space mission on avionics requirements Analyze spacecraft avionics requirements Design flight avionics systems Model a distributed intelligent system on CAN base Order different on board communication bus systems Recognize threads and requirements for on board electronics components Implement a simulated avionics components on design tool Assess / Evaluate flight avionics requirements,None,Storni Bruno,None,None,Spring,Plan and carry out activities in a way which makes optimal use of available time and other resources. Use a work methodology appropriate to the task.,"The course presents and analyses the different systems, architectures and components of spacecraft avionics (on board data handling and processing systems) controlling and commanding spacecraft and payloads (instruments). It will study typical bus structures (standard) used for S/C avionics.",Lecture with exercices in Space Center lab,Spacecraft avionics architectures,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1090728522&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
2,Electrical and Electronics Engineering,Written,English,Elaborate an integrated circuit test strategy Analyze the needs in test of a VLSI system Develop  blocs enabling integrated circuit test Assess / Evaluate necessity to carry out test,Projects,Schmid Alexandre,None,"Written, with a mandatory continuous control written midterm and laboratory sessions",Fall,Communicate effectively with professionals from other disciplines. Use both general and domain specific IT resources and tools,"Test of VLSI Systems covers theoretical knowledge related to the major algorithms used in VLSI test, and design for test techniques. Basic knowledge related to computer-aided design for test techniques, and their integration into a design-flow are presented.","Ex cathedra class lectures, exercises and practical exercises",Test of VLSI systems,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47241891&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
4,Electrical and Electronics Engineering,Written,English,Structure a space project in development phases Formulate the tasks and responsibilities of the system engineer Dimension the overall system Dimension each satellite subsystem Elaborate a coherent and consistent system design Design a space mission Integrate constraints due to the space environment,None,Foing Bernard Alain Claude-Henry Jean-Sébastien Louis,None,final report and presentation.,Fall,Set objectives and design an action plan to reach those objectives. Plan and carry out activities in a way which makes optimal use of available time and other resources. Use a work methodology appropriate to the task. Access and evaluate appropriate sources of information. Write a scientific or technical report.,"The main objective of the course is to introduce the concept of space system design and engineering. The course will describe the various
subsystems involved in the design of a satellite. It will also describe the techniques of systems engineering that are used to obtain a coherent
satellite design.",None,Spacecraft design and system engineering,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47244272&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
4,Electrical Engineering ,During the semester,English,Construct a basic wireless transmitter Explain the performance limitations of a wireless system Derive basic optimum receiver structures Develop  a simulation model of a wireless system Develop  a basic OFDM communication systems,EE-543 Advanced Wireless Receivers,Burg Andreas Peter,None,Mid-term exam (theory and MATLAB) & Final Project (accoustic OFDM transceiver),Fall,Make an oral presentation. Use a work methodology appropriate to the task.,"The students will learn about the basic principles of wireless communication systems, including transmission and modulation schemes as well as the basic components and algorithms of a wireless receiver. They develop an understanding for the wireless channel and system performance and limitations.","Ex-cathedra lectures, computer labs using MATLAB, a final hands-on project",Wireless receivers: algorithms and architectures,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1499348352&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
2,Electrical and Electronics Engineering,Oral,English,"Assess / Evaluate the function and the behavior of the processing components of a video processing and communication system/application Formulate the basic theory of coding Use the basic theory of multi-dimensional signal processing for the understanding of acquisition and display of video signals Recognize the underlying theoretical (algorithmic) and implementation components that define its performance Detect the possible improvements and optimizations on both algorithmic and implementation sides Deduce the implementation challenges of an application design case in terms of processing, synchronization, real-time performance Investigate trade-offs between performance and implementation complexity Specify  the essential behaviors and technological limitations of main types of memories that define systems implementation performance Quantify memory system bandwidth requirements of specified algorithms","""Information technology"" orientation",Mattavelli Marco,None,"Written examination assessing theoretical knowledge acquired, evaluation of the project developed in terms of comprehension of the problem and quality of the developed solution (correctness and effectiveness).",Fall,"Use a work methodology appropriate to the task. Assess progress against the plan, and adapt the plan as appropriate. Use both general and domain specific IT resources and tools Write a scientific or technical report. Continue to work through difficulties or initial failure to find optimal solutions.","Study of the essential components and implementation technologies of digital signal processing and communication systems from the theoretical, algorithmic and system implementation point of view.",Lectures and projects,Systems and architectures for signal processing,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776060846&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Written,English,Recognize situations where statistical analysis of extrema is appropriate Manipulate mathematical objects related to the study of extrema Analyze empirical data on extremes using appropriate statistical methods Construct appropriate statistical models for extremal data Interpret such models in terms of underlying phenomena Infer properties of real systems in terms of probability models for extremes,None,Davison Anthony,Cours donné en alternance sur deux ans,"Mini-project, final exam.",Fall,,"Modelling of rare events, such as stock market crashes, storms and catastrophic structural failures, is important. This course will describe the special models and methods that are relevant to such modelling, including the mathematical bases, statistical tools and applications.","Lectures, theoretical and computational exercises in class and at home.","Risk, rare events and extremes",https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1685212246&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
4,Civil Engineering,Oral,English,Interpret algorithms in c++ Modify algorithms in c++ Implement algorithms in c++,None,Anciaux Guillaume,only for master students in Civil Engineering and Computational Science,The students will be evaluated with two quizz (QCM) during the semester and then with oral evaluations based on programming at the end of the semester.,Fall,"Assess progress against the plan, and adapt the plan as appropriate. Set objectives and design an action plan to reach those objectives. Use both general and domain specific IT resources and tools Give feedback (critique) in an appropriate fashion.","The aim of this course is to provide the background in scientific computing. The class includes a brief introduction to basic programming in c++, it then focus on object oriented programming and c++ specific programming techniques.",Interactive lecture and projects in classroom,Programming concepts in scientific computing,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1497047397&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Written,English,Recognize situations where statistical analysis of extrema is appropriate Manipulate mathematical objects related to the study of extrema Analyze empirical data on extremes using appropriate statistical methods Construct appropriate statistical models for extremal data Interpret such models in terms of underlying phenomena Infer properties of real systems in terms of probability models for extremes,None,Davison Anthony,Cours donné en alternance sur deux ans,"Mini-project, final exam.",Fall,,"Modelling of rare events, such as stock market crashes, storms and catastrophic structural failures, is important. This course will describe the special models and methods that are relevant to such modelling, including the mathematical bases, statistical tools and applications.","Lectures, theoretical and computational exercises in class and at home.","Risk, rare events and extremes",https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1685212246&ww_x_anneeacad=1866895046&ww_i_section=120623110&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Written,English,"Define main mathematical notions introduced in the course State main theorems Apply main theorems to concrete examples Prove main theorems Solve problems similar to those discussed on tutorials Compute degree of a map, genus of a surface, intersection pairing, period matrix, basis of holomorphic differential forms, image under Abel map, etc. Construct examples and counterexamles Sketch proves of main results",None,De Courcy-Ireland Matthew,None,"Dans le cas de l’art. 3 al. 5 du Règlement de section, l’enseignant  décide de la forme de l’examen qu’il communique aux étudiants concernés.",Fall,Access and evaluate appropriate sources of information. Write a scientific or technical report. Demonstrate a capacity for creativity. Take feedback (critique) and respond in an appropriate manner.,"This course is an introduction to the theory of Riemann surfaces. Riemann surfaces naturally appear is mathematics in many different ways: as a result of analytic continuation, as quotients of complex domains under discontinuous group actions, as algebraic curves.",None,Riemann surfaces,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4150982&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Written,English,Recognize situations where statistical analysis of extrema is appropriate Manipulate mathematical objects related to the study of extrema Analyze empirical data on extremes using appropriate statistical methods Construct appropriate statistical models for extremal data Interpret such models in terms of underlying phenomena Infer properties of real systems in terms of probability models for extremes,None,Davison Anthony,Cours donné en alternance sur deux ans,"Mini-project, final exam.",Fall,,"Modelling of rare events, such as stock market crashes, storms and catastrophic structural failures, is important. This course will describe the special models and methods that are relevant to such modelling, including the mathematical bases, statistical tools and applications.","Lectures, theoretical and computational exercises in class and at home.","Risk, rare events and extremes",https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1685212246&ww_x_anneeacad=1866895046&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Written,English,"Specify  a model of ZFC Prove consistency results Develop  a generic extension Argue by transfinite induction Decide whether ZFC proves its own consistency Formalize the axioms of ZF, AC, CH, DC Sketch an inner model Justify the axiom of foundation",None,Duparc Jacques,Cours donné en alternance tous les deux ans,None,Spring,,"Set Theory as a foundational system for mathematics. ZF, ZFC and ZF with atoms. Relative consistency of the Axiom of Choice, the Continuum Hypothesis, the reals as a countable union of countable sets, the existence of a countable family of pairs without any choice function.",Ex cathedra lecture and exercises,Set theory,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=837370054&ww_x_anneeacad=1866895046&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en,14
4,Civil Engineering,Oral,English,Interpret algorithms in c++ Modify algorithms in c++ Implement algorithms in c++,None,Anciaux Guillaume,only for master students in Civil Engineering and Computational Science,The students will be evaluated with two quizz (QCM) during the semester and then with oral evaluations based on programming at the end of the semester.,Fall,"Assess progress against the plan, and adapt the plan as appropriate. Set objectives and design an action plan to reach those objectives. Use both general and domain specific IT resources and tools Give feedback (critique) in an appropriate fashion.","The aim of this course is to provide the background in scientific computing. The class includes a brief introduction to basic programming in c++, it then focus on object oriented programming and c++ specific programming techniques.",Interactive lecture and projects in classroom,Programming concepts in scientific computing,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1497047397&ww_x_anneeacad=1866895046&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Written,English,Apply Borel-Cantelli lemmas and Kolmogorov 0-1 law to study tail events Apply characteristic functions to study probability distributions Analyze distributions of random variables using concentration inequalities Prove simple convergence results for sequences of random variables,"Probabilities, Stochastic process",Junnila Janne Matias,None,Written exam.,Fall,,The course provides a measure-theoretic introduction to probability theory.,Lectures and exercise classes.,Probability theory,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=837368471&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Written,English,"Define and explain basic concepts in probability and discrete mathematics Prove explain, and apply the first and second moment methods Prove explain, and apply the Local Lemma Solve exercises, design randomized algorithms Describe and explain the method of interlacing polynomials",None,Marcus Adam W.,None,Exam written,Fall,"Summarize an article or a technical report. Demonstrate the capacity for critical thinking Assess progress against the plan, and adapt the plan as appropriate.","We develop a sophisticated framework for solving problems in discrete mathematics through the use of randomness (i.e., coin flipping). This includes constructing mathematical structures with unexpected (and sometimes paradoxical) properties for which no other methods of construction are known.",Lectures and exercises,Probabilistic methods in combinatorics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2696024812&ww_x_anneeacad=1866895046&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Written,English,Analyze basic problems in algebraic geometry of curves and surfaces and solve them.,None,Carocci Francesca,None,The final grade will be assigned based on the cummulative  points of the student obtained from handed in homework solutions and  from the written exam. The weights of the two parts are:,Spring,,Algebraic curves and surfaces are the first examples of algebraic varieties to consider. In this course we  will study classical topics in the theory of algebraic curves and surfaces applying methods of schemes and cohomology. The course will include many explicit examples and calculations.,Ex cathedra lecture with exercises,Topics in algebraic geometry,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2696025738&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,During the semester,English,Manipulate concepts of differential and Riemannian geometry. Develop  geometric tools to work on new manifolds of interest. Recognize and formulate a Riemannian optimization problem. Analyze  implement and compare several Riemannian optimization algorithms. Apply the general theory to particular cases. Prove  some of the most important theorems studied in class.,None,Boumal Nicolas,None,Projects,Spring,,"We develop, analyze and implement numerical algorithms to solve optimization problems of the form: min f(x) where x is a point on a smooth manifold. To this end, we first study differential and Riemannian geometry (with a focus dictated by pragmatic concerns). We also discuss several applications.",Lectures + exercise sessions,Optimization on manifolds,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2696022042&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Written,English,"Define and explain basic concepts in probability and discrete mathematics Prove explain, and apply the first and second moment methods Prove explain, and apply the Local Lemma Solve exercises, design randomized algorithms Describe and explain the method of interlacing polynomials",None,Marcus Adam W.,None,Exam written,Fall,"Summarize an article or a technical report. Demonstrate the capacity for critical thinking Assess progress against the plan, and adapt the plan as appropriate.","We develop a sophisticated framework for solving problems in discrete mathematics through the use of randomness (i.e., coin flipping). This includes constructing mathematical structures with unexpected (and sometimes paradoxical) properties for which no other methods of construction are known.",Lectures and exercises,Probabilistic methods in combinatorics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2696024812&ww_x_anneeacad=1866895046&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Written,English,"Define and explain basic concepts in probability and discrete mathematics Prove explain, and apply the first and second moment methods Prove explain, and apply the Local Lemma Solve exercises, design randomized algorithms Describe and explain the method of interlacing polynomials",None,Marcus Adam W.,None,Exam written,Fall,"Summarize an article or a technical report. Demonstrate the capacity for critical thinking Assess progress against the plan, and adapt the plan as appropriate.","We develop a sophisticated framework for solving problems in discrete mathematics through the use of randomness (i.e., coin flipping). This includes constructing mathematical structures with unexpected (and sometimes paradoxical) properties for which no other methods of construction are known.",Lectures and exercises,Probabilistic methods in combinatorics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2696024812&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
5,Mathematics - master program,Oral,English,"understand the construction and basic theory of p-adic numbers, as well as being able to do calculations involving them.",None,Wyss Dimitri Stelio,None,oral,Spring,,"P-adic numbers are a number theoretic analogue of the real numbers, which interpolate between arithmetics, analysis and geometry. In this course we study their basic properties and give various applications, notably we will prove rationality of the Weil Zeta function.",course ex-cathedra and exercises,P-adic numbers and applications,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2563203857&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
4,Computational science and Engineering,Oral,English,Classify the types of HPC architecture Identify codes suited for parallelizing Apply the most commont parallelization techniques Implement algorithms in parallel Investigate the performances of parallel code Argue about the differences in performances between theory and practice Optimize the usage of hardware and software resources depending on the type of algorithm to parallelize,None,"Keller Vincent, Richart Nicolas",None,Oral defense of project work,Spring,Set objectives and design an action plan to reach those objectives. Communicate effectively with professionals from other disciplines. Access and evaluate appropriate sources of information. Write a scientific or technical report.,"This course provides insight into a broad variety of High Performance Computing (HPC) concepts and the majority of modern HPC architectures. Moreover, the student will learn to have a feeling about what architectures are suited for several types of algorithms.","Lectures, exercises, project work",Parallel and high-performance computing,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1948227996&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
5,Data Science,Written,English,Recognize when a time series model is appropriate to model dependence Manipulate basic mathematical objects associated to time series Estimate parameters of basic time series models from data Critique the fit of a time series model and propose alternatives Formulate time series models appropriate for empirical data Distinguish a range of time series models and understand their properties,None,Olhede Sofia Charlotta,None,final exam,Spring,,A first course in statistical time series analysis and applications.,Ex cathedra lectures and exercises in the classroom and at home.,Time series,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=129699210&ww_x_anneeacad=1866895046&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,During the semester,English,Apply appropriate methods to analyze genomic data Carry out targeted analyses of genomic data Design genomic experiments,None,Goldstein Darlene,None,Evaluation is based on a written report of a genomic data analysis project.,Spring,Access and evaluate appropriate sources of information. Write a scientific or technical report.,"After a short introduction to basic molecular biology and genomic technologies, this course covers the most useful statistical concepts and methods for the analysis of genomic data.",Lectures and computer practical exercises,Statistics for genomic data analysis,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2229434&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
5,Applied Mathematics,Oral,English,Analyze the convergence of sampling algorithms Implement sampling methods for different stochastic processes Compare the efficiency of different sampling algorithms Choose  appropriate sampling algorithms Propose efficient sampling methods for different stochastic problems,None,Nobile Fabio,None,Miniproject +  final written exam which may require the use of a computer.,Fall,Plan and carry out activities in a way which makes optimal use of available time and other resources. Demonstrate a capacity for creativity. Demonstrate the capacity for critical thinking Write a scientific or technical report.,"The student who follows this course will get acquainted with computational tools used to analyze systems with uncertainty arising in engineering, physics, chemistry, and economics. Focus will be on  sampling methods as Monte Carlo, quasi Monte Carlo,  Markov Chain Monte Carlo.",course ex-cathedra + exercise sessions and computer labs,Stochastic simulation,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2218217970&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
